103 ST,103 ST-CORONA,104 ST,110 ST,111 ST,116 ST,116 ST-COLUMBIA,121 ST,125 ST,135 ST,14 ST,14 ST-UNION SQ,145 ST,14TH STREET,15 ST-PROSPECT,155 ST,157 ST,163 ST-AMSTERDM,167 ST,169 ST,170 ST,174 ST,175 ST,176 ST,18 ST,181 ST,183 ST,190 ST,191 ST,207 ST,21 ST,215 ST,219 ST,225 ST,23 ST,231 ST,233 ST,238 ST,25 ST,28 ST,33 ST,34 ST-HERALD SQ,34 ST-PENN STA,36 ST,42 ST-BRYANT PK,45 ST,46 ST,50 ST,51 ST,55 ST,57 ST,59 ST,63 DR-REGO PARK,65 ST,66 ST-LINCOLN,71 ST,72 ST,74 ST-BROADWAY,77 ST,79 ST,81 ST-MUSEUM,82 ST-JACKSON H,86 ST,90 ST-ELMHURST,96 ST,9TH STREET,BAY 50 ST,BEACH 105 ST,BEACH 25 ST,BEACH 36 ST,BEACH 44 ST,BEACH 60 ST,BEACH 67 ST,BEACH 90 ST,BEACH 98 ST,BERGEN ST,BEVERLEY ROAD,BLEECKER ST,BOTANIC GARDEN,BOWERY,BOWLING GREEN,BRIGHTON BEACH,BROAD CHANNEL,BROAD ST,BROADWAY,BRONX PARK EAST,BROOKLYN BRIDGE,CANAL ST,CARROLL ST,CHAMBERS ST,CHAUNCEY ST,CHRISTOPHER ST,CITY / BUS,CITY HALL,CLARK ST,CLEVELAND ST,CLINTON-WASH AV,CORTLANDT ST,COURT SQ,COURT SQ-23 ST,CRESCENT ST,CROWN HTS-UTICA,CYPRESS HILLS,DYCKMAN ST,E 149 ST,E 180 ST,EAST 105 ST,EAST BROADWAY,EXCHANGE PLACE,FAR ROCKAWAY,FOREST AVE,FRANKLIN ST,FREEMAN ST,FT HAMILTON PKY,FULTON ST,GRAND ARMY PLAZ,GRAND ST,GROVE STREET,HALSEY ST,HARRISON,HEWES ST,HIGH ST,HOUSTON ST,HOYT ST,INWOOD-207 ST,JAMAICA CENTER,JAY ST-METROTEC,JEFFERSON ST,JOURNAL SQUARE,JUNCTION BLVD,KINGSBRIDGE RD,KINGSTON-THROOP,KNICKERBOCKER,KOSCIUSZKO ST,LACKAWANNA,LORIMER ST,MARBLE HILL-225,METROPOLITAN AV,METS-WILLETS PT,MORRIS PARK,MYRTLE-WILLOUGH,NEVINS ST,NEWARK BM BW,NEWARK C,NEWARK HM HE,NEWARK HW BMEBE,NEWKIRK PLAZA,NORTHERN BLVD,PARK PLACE,PARSONS BLVD,PAVONIA/NEWPORT,PELHAM BAY PARK,PRESIDENT ST,PROSPECT PARK,QUEENS PLAZA,QUEENSBORO PLZ,RECTOR ST,RIT-MANHATTAN,ROCKAWAY BLVD,SENECA AVE,SHEEPSHEAD BAY,SIMPSON ST,SMITH-9 ST,SOUTH FERRY,SPRING ST,ST. GEORGE,STEINWAY ST,STERLING ST,SUTPHIN BLVD,THIRTY ST,THIRTY THIRD ST,TOMPKINSVILLE,TWENTY THIRD ST,UNION ST,VAN SICLEN AVE,W 4 ST-WASH SQ,W 8 ST-AQUARIUM,WALL ST,WESTCHESTER SQ,WINTHROP ST,WOODHAVEN BLVD,WORLD TRADE CTR,YORK ST
190241,120190,15557.0,68033,82812,206035,86657,13915.0,481689,120945,240445,587381,216915,49446.0,36295.0,40478.0,64161,26143.0,114588,53735.0,96647,44559.0,74707,35374.0,46458.0,137054,37115.0,27699.0,49568.0,37387.0,53890.0,13001.0,20877.0,27581.0,376529,47828,33517.0,18268.0,22014.0,208461,173275,656055,958608,100686,183271,42584.0,56649.0,258286,111333,11034.0,80415,340830,94109,23363.0,117102081,26446.0,283309,17567.0,228210,139421,90913,88792,632119,98861,453120,28224.0,16817.0,1566.0,10494.0,5088.0,3549.0,14621.0,13377.0,4909.0,3198.0,89699,15567.0,79945,10053.0,14255.0,173583,71140,1740.0,32745.0,24369.0,16626.0,131225,410254,66264,379155,18251.0,80485,89948,32468.0,34619.0,20800.0,70361,52335.0,75236,48925.0,29494.0,160133,8644.0,41352.0,26608.0,48400.0,22103.0,49406,81815,27692.0,24506.0,31818.0,28546.0,102432,424449,44754.0,181121,99472,84085,39739.0,20362.0,46847.0,80017,39889.0,61032.0,233894,235924,44493.0,1888660,126040,107361,35646.0,23213.0,28838.0,41045.0,65143,25331.0,78530,15410.0,11176.0,35107.0,60112,77164,24705.0,2706.0,25456.0,65281,43856.0,31239.0,39070.0,107099,43605.0,22976.0,59069,61337,67626,98849,22822.0,38390.0,15058.0,80581,59657.0,29211.0,83773,129720,69310,84346,33572.0,163744.0,43580.0,446730,4280.0,42963.0,34076.0,56694.0,228054,11237.0,265904,39848.0,43287.0,157096,76440,51710.0
197690,120819,16334.0,68176,85139,217573,96062,14640.5,485371,124714,250243,604317,224951,50117.5,38940.5,41286.0,65262,28020.0,119369,56460.5,100217,47150.5,78331,37276.5,46617.0,137411,37382.0,29951.5,47374.0,36396.5,55043.5,11412.0,21162.0,28134.0,376943,51149,34094.5,20987.5,23080.0,212695,166966,662293,987850,106848,194514,45239.0,57445.0,265206,109336,10877.5,84388,355871,96129,22461.5,136545,24463.5,296154,18291.5,226696,135804,86893,87875,649558,99168,449843,28914.5,17130.5,1723.5,11330.5,5554.0,3733.0,15407.0,14000.5,5195.0,3360.0,93046,15650.0,79549,11710.0,18532.5,178600,76280,1934.0,34441.5,25192.5,17776.0,136976,409573,69791,400682,18843.0,82119,92519,33780.5,36890.5,22135.0,71952,52206.0,79370,47369.0,31891.5,168224,9052.0,41085.5,27786.5,46200.0,23018.0,76781,84762,29374.0,26424.5,29983.0,30339.5,105217,336418463,47334.0,177843,103406,83656,45470.5,19289.0,49803.0,79694,40715.5,60127.0,246979,245063,41497.0,125215,134232,112047,36883.5,26301.5,29857.0,47892.5,67546,28785.0,81957,27666.0,12568.5,35424.0,61394,79124,29699.5,8463.0,26729.5,65457,44612.5,32015.0,40888.5,110503,43392.5,24175.0,64618,66087,67236,97524,25190.5,41294.0,17379.0,84135,63515.5,29866.5,85212,125615,74360,86007,34633.0,168291.5,50543.0,129635,4576.5,46703.5,36779.5,44911.5,236388,13314.5,275148,41754.0,44788.0,161270,77030,52873.5
161948,122654,16486.5,83998,86395,221948,78321,14862.5,500286,126426,251276,596603,228876,50749.0,39425.5,41205.0,65534,26057.0,121151,55786.5,101230,47392.5,79462,36816.5,47601.0,142985,38276.5,30576.0,50769.5,39103.0,54476.0,11639.0,21731.0,28564.0,372090,57861,34728.5,24626.5,23303.0,195762,167857,669985,975772,106504,199603,45499.0,56699.5,263936,109626,10816.0,82844,363162,98288,22711.0,131289,25958.5,304336,18630.0,231364,132015,82016,93334,636324,102406,476175,28514.0,16834.5,1777.5,11661.5,5716.0,3845.0,15827.5,15374.5,5138.5,3295.0,91791,15822.0,79429,11580.0,19629.0,177658,78714,1954.5,34150.0,26001.0,17745.0,135814,406898,69849,394555,19658.5,82965,89876,34168.5,35172.5,22589.5,69978,50441.0,79789,48067.5,31970.0,165607,9176.5,44359.0,26884.0,49625.5,23372.5,85205,108159,29470.5,27211.0,32480.0,30244.0,107014,444533,45180.5,180848,105575,84081,44611.5,21015.0,51520.0,80143,40904.0,59451.0,249301,242182,40245.5,125787,134158,110711,36950.0,30002.5,27791.0,44849.0,67508,34921.0,81426,33719.0,11914.0,35189.5,58813,78217,27128.0,2778.0,25945.0,68217,44038.0,31628.5,40865.5,202873,43311.0,23910.5,64300,69012,70115,98471,29057.0,39803.0,19444.0,83771,63742.0,30100.0,86949,127157,75707,86249,34500.0,172458.5,46049.0,129570,4733.5,46637.0,37690.5,39481.0,237717,15109.0,273544,39247.0,44228.5,164933,77034,54056.0
155008,121129,16090.5,87616,83543,219543,74344,14442.0,486244,120732,247070,606223,217062,51432.0,38752.0,41512.5,66869,27038.0,117667,51953.5,98529,44789.5,79675,36169.0,46892.0,137606,37333.0,29527.5,48199.0,37712.0,51859.0,11041.5,21161.5,27379.0,366005,56363,32972.0,24663.5,22633.5,214854,180314,670650,1004853,104989,203450,43330.5,55881.0,269683,121795,11050.0,81213,356129,97429,22927.5,132199,26373.5,297765,18621.5,244416,136608,87169,92912,640385,100675,484014,26091.5,17170.5,2390.5,10950.5,5636.5,3812.5,15281.5,15194.0,7268.5,4658.0,89034,16529.5,79208,9615.0,18019.5,186153,74318,2117.0,35212.5,24862.0,17099.5,126848,418795,68617,377739,19256.5,79567,406608,33739.5,35456.0,21553.0,67121,54881.0,74310,45945.0,30848.0,162210,8655.0,42109.5,27515.0,47539.0,22711.0,81765,88741,29114.0,24875.0,31811.0,28906.5,103472,451209,43338.0,181084,106699,84991,45753.5,17254.5,50049.5,79231,39831.0,58059.5,236166,220703,45168.0,124999,130803,105750,36652.0,24135.0,29895.0,47532.5,67129,33782.0,79186,32407.5,12395.5,35568.5,57903,82378,29307.0,3240.0,27332.5,65713,43717.5,31610.0,38936.0,112501,43405.5,22141.5,61323,61950,66632,100068,26294.0,9119.0,16069.0,81938,58939.0,29787.5,88763,131771,76638,83567,34117.5,170908.0,49949.5,129356,4372.0,46884.0,37795.5,37825.0,224620,16787.5,279814,36490.5,43286.0,164480,85112,52453.5
139558,117119,14953.5,75477,78909,195894,79344,13676.0,450671,108325,230631,569693,210663,50646.0,34488.5,37205.5,62660,24987.0,110557,47549.5,91038,33470.5,75449,33668.5,42797.0,126321,34459.0,26749.5,44792.5,35842.0,49114.5,10265.0,18471.0,23659.5,337526,52270,29838.0,22550.0,20718.5,203746,167922,636756,965292,95301,196461,39857.0,50566.5,250839,114425,10221.5,76714,330947,89054,20932.0,112822,28825.0,271030,18245.5,212723,127136,89004,419471,595787,97960,425053,26058.0,16615.0,2827.0,9852.5,5300.0,3714.5,14424.5,16279.5,9322.5,6473.5,77728,14880.5,73440,8066.0,18014.5,184832,74862,1937.5,34460.0,22520.0,14305.5,123084,406877,57502,360137,18026.5,79489,227340,31843.5,34100.5,19089.5,62244,52145.5,68893,42871.0,28626.0,157876,7854.0,39469.5,25672.5,36945.5,21364.0,74806,91280,28216.0,23649.5,29869.5,22078.5,88880,443750,38844.5,172239,103225,81226,46175.0,15556.0,47616.5,76045,36990.0,53005.0,225307,207462,43245.0,122126,124080,97330,33574.5,21905.5,28295.5,45922.5,61069,31445.0,74737,33325.5,11030.5,32785.5,54976,81392,26849.5,1571.0,27168.5,62922,40095.5,29697.5,35713.0,109436,42274.0,19866.0,58821,54691,63058,90830,25150.5,7773.0,14661.5,77641,44725.0,27733.0,79371,121278,72790,77194,31725.5,163918.0,53900.5,133846,4263.0,43110.0,33520.5,34841.5,219602,20120.0,267223,33991.5,40191.5,150295,86537,48579.5
136862,114569,14617.0,76517,79226,190743,73852,13872.5,445962,111623,219565,552734,203175,49959.5,33954.5,37527.0,61981,24725.0,111136,48589.0,91401,35960.5,74634,33368.5,41380.0,125581,34299.5,26919.5,44891.5,35445.5,52457.5,10531.0,18756.5,24262.5,328913,52075,29994.0,23041.5,20742.0,199441,166220,635439,1045049,96433,200037,39332.5,48183.0,248860,116522,9893.5,81671,322411,87889,19756.0,109567,28779.0,265621,18405.5,218260,125873,89643,89217,579359,97107,414140,25530.0,15980.5,3026.0,9775.0,5499.0,3725.0,14415.5,16914.0,10732.0,7331.0,77581,13300.5,73431,7635.5,17989.0,179514,72459,2029.5,34988.5,22324.0,14338.0,121152,401479,57441,345481,18204.5,74384,87452,32694.5,34937.0,19226.5,61081,53602.0,67832,41424.5,28494.5,150830,7654.0,39050.0,26429.0,39694.0,21190.5,76192,102863,28625.0,23505.0,29816.5,23534.0,87938,430687,37393.5,168325,104835,81041,45566.0,15746.5,41229.0,74815,36366.5,53419.5,215241,204812,43529.5,122762,126186,96284,34026.0,22113.0,27544.5,46934.5,61286,31389.0,74368,35117.0,11275.5,32465.0,54231,83914,26821.5,6773.5,100296.5,65454,39593.5,29540.5,38664.5,112776,41617.0,19319.0,60718,52663,61972,91956,25502.5,6528.5,14791.5,78122,46493.5,27723.0,84138,122619,71638,71497,31231.5,157625.0,50718.5,131031,4260.0,45943.5,32683.5,34446.5,209526,20396.0,262937,33890.5,39892.5,146327,86064,51605.5
135155,115442,14737.5,76898,79428,193618,80696,13639.0,439965,109574,211441,541307,212807,51241.5,32615.0,36176.5,62361,24119.5,111148,49953.5,91665,31919.0,74156,33132.0,39400.0,126088,35120.5,26386.0,45273.5,36502.5,47884.0,10322.0,18364.5,23816.5,338043,52106,28880.5,23309.0,20406.5,190147,156249,613515,885963,103885,191040,38951.5,50995.0,232823,106935,10466.5,72192,328940,88935,20829.0,109476,27690.0,254148,18369.0,209753,121672,75411,90587,552694,97759,404489,27182.5,15774.5,2630.5,10033.5,5503.5,3730.5,14374.5,15617.0,9571.5,5953.0,76139,13449.5,72871,8236.0,18518.5,172068,73287,1920.0,33877.0,22967.5,13898.5,119249,371960,56469,362220,18228.5,149560,87676,32405.5,34216.0,19729.5,63724,48950.5,66914,41188.0,28823.5,162632,7676.0,39616.5,27588.0,35678.5,21069.5,72240,86065,28281.5,23660.5,27759.5,20724.0,88998,407643,40766.0,164307,101625,81775,46478.5,16437.5,37541.0,67235,35919.5,52643.0,221084,232780,42440.5,124235,128806,98184,34199.0,22575.5,27438.0,84004.0,61632,31369.5,71902,70812.0,10875.5,33166.0,54786,79109,82967.5,6169.0,25954.5,65735,41287.0,28060.5,35854.0,375668,40631.0,21618.0,62336,49949,63989,78496,25135.5,83834405.0,14673.0,76661,42937.5,28279.0,64073,115102,68746,75124,32455.5,161127.5,50218.0,123282,4310.5,44518.5,31238.5,35169.0,222387,17287.5,249011,34311.5,39716.0,145851,78578,51744.5
194847,124804,16506.0,73909,86406,209101,101540,14841.5,489175,124027,251314,604003,232478,52365.5,38494.5,40720.0,69349,27037.0,121376,54112.0,101123,45526.5,80071,37231.0,48949.5,138930,39132.5,30735.0,51382.0,40177.5,55247.5,12748.5,21136.0,27805.0,383770,56230,33575.5,24680.5,22510.0,212913,176534,650388,960384,107044,201622,43087.0,55903.0,268286,118580,10316.0,85178,361535,97654,23040.5,140291,31386.0,291055,19662.5,232352,142006,82883,97588,643117,104457,452295,29080.5,17580.0,1789.0,11487.5,5916.0,3991.0,15130.5,15502.5,5037.0,3494.0,90830,17574.0,80141,11024.5,20052.0,183253,77995,1894.5,38667.0,25667.0,16751.5,131915,404095,68745,408331,20271.0,80892,93944,36308.0,38445.0,22065.5,72914,54260.5,81163,45957.0,31723.0,166082,8822.0,43789.5,29203.0,50453.0,23446.0,82566,136913,29065.0,26381.0,32578.5,29597.0,103103,450579,46679.5,183314,110466,89238,47530.5,17194.0,45057.5,77673,41750.0,58901.5,244108,244524,46033.5,127106,134055,109396,37847.5,25006.0,30124.5,47975.0,68904,33708.5,82317,24197.0,12166.5,36131.5,61319,83040,29175.5,2819.0,26028.0,66600,44793.5,31119.0,39135.0,114740,43128.0,23836.5,63616,60299,69215,90192,26079.0,34818.0,16177.5,85694,59487.0,29919.5,71298,131155,79483,83959,34373.0,171798.0,50073.5,132005,4565.0,49205.0,36418.0,38016.5,232259,13283.0,267096,37371.0,42759.5,159205,84443,56925.0
198967,127376,17036.0,78683,88587,217732,98453,16062.0,506325,130321,262222,603052,244003,54274.5,39399.5,40802.0,68121,26661.5,126650,56926.5,104253,47665.5,82188,38959.5,52029.5,146452,40419.0,30928.5,53658.5,42129.5,58845.0,12979.5,21042.0,27683.0,398181,60075,33453.0,25654.5,23292.5,214305,178829,718765,1019420,108949,221780,45263.0,58392.0,289504,128989,12244.0,87710,381662,103908,23475.0,145530,31631.5,302484,21334.0,247893,145658,78295,96870,673427,106613,468753,29354.5,17524.0,1595.5,11988.5,6114.5,4078.0,15724.0,16332.5,4472.5,2995.0,94671,19037.5,82119,10457.0,20580.5,186794,82461,1936.0,38393.5,26112.5,17464.0,140215,405862,72996,434812,21512.0,85237,95086,38225.0,38798.5,22102.0,75183,53542.0,86082,46201.0,32344.5,178449,9164.5,46600.0,28845.5,47331.5,20742.0,86536,90770,30854.0,26691.0,32669.5,30676.0,104731,455112,48350.0,191935,112865,82351,48496.0,17800.0,48649.5,81795,43898.5,59656.5,253939,260477,48063.0,128811,140301,111062,39314.0,25190.5,30905.0,47029.0,70230,37143.0,84053,24365.0,13935.0,37905.5,63549,84237,29488.0,2567.0,28059.5,67750,46197.5,31622.0,41094.0,120121,44128.0,25570.5,63699,60568,75162,94233,22675.0,41274.0,16691.5,87041,62171.5,31518.0,67081,141627,74529,89154,36123.0,174989.0,47899.0,133413,7275.5,49720.5,37738.5,38817.0,234338,12857.0,283675,38656.5,44130.5,162946,85350,56280.0
195171,129566,17483.0,80734,88969,218786,90564,15905.0,500286,131556,262183,1313567,242922,48507.5,39960.5,39955.0,61726,25791.0,130359,57674.5,106113,47275.0,83692,39617.0,54223.0,140081,41659.5,30224.5,50989.0,39440.5,57601.0,11653.5,21230.5,28128.5,391657,54969,33720.5,23013.0,23565.5,193580,171507,764728,1037913,108260,235448,44240.5,56566.0,292529,133867,12385.5,77969,388022,106064,23101.5,134654,30913.0,281599,21036.0,235911,141334,72529,100873,677136,107891,447541,26083.5,18004.0,1383.0,12465.0,6202.5,4291.0,15863.0,15036.5,4846.0,3216.0,91322,19475.5,88130,10381.0,20798.5,180192,83367,1948.0,38230.5,24826.5,17515.5,143023,387287,74505,467370,20283.5,86922,91774,37820.0,36726.0,21777.0,73760,50929.5,85267,49033.0,31645.5,179052,9319.5,43317.5,28896.5,45852.0,22339.0,90094,87280,31678.5,26468.5,31244.5,30671.5,102937,439786,48489.0,197483,109152,84640,46165.5,17617.5,44904.5,78623,48280.5,58391.0,263192,276309,48118.5,177489,139437,110693,40015.5,25005.5,29996.0,47424.5,68077,35023.0,81863,13905.5,13039.0,36524.5,65542,85138,29405.5,7503.0,27206.0,66390,45304.0,33127.5,42628.0,109914,44929.5,26565.0,63368,59366,75302,98810,19927.0,41989.5,16587.5,84932,61012.5,31303.0,69699,141759,80827,91296,36992.5,180293.0,46318.0,127119,4307.0,46357.5,38373.5,38487.0,215647,12346.0,275864,41280.5,43550.5,164061,89901,52336.0
171080,111975,20460.5,67531,80882,188053,55745,13740.5,432210,114527,263052,562797,208036,44532.5,40015.5,36818.0,59081,26459.5,116860,48820.0,85969,41989.0,72797,35449.0,44445.0,128947,37456.0,25620.0,48536.5,37033.0,29083.5,10093.5,19054.0,24703.0,542102,54588,29625.5,21607.0,20341.5,198859,154364,713732,2600117,686586,205584,40746.5,49152.5,276837,114639,11346.0,75441,392485,99186,21141.0,119756,30116.0,247283,20593.5,188448,124814,79689,87062,604016,95323,371301,21755.0,14416.0,1340.5,10691.0,5566.0,3708.5,14366.0,13246.0,4350.0,2784.0,78701,17411.5,76410,8141.0,20445.0,165487,66370,1581.0,32544.0,53039.0,15130.5,107041,360449,61229,346188,18248.5,73526,148262,28106.0,30174.0,18821.0,58803,44161.0,65669,41666.5,27317.5,155955,7882.5,56914.0,26032.5,39023.5,21549.5,82430,73338,28334.0,22607.5,25260.5,27458.5,90366,397880,40172.5,184307,91844,73749,40227.0,15251.0,46725.0,62415,43655.5,50217.0,221927,250969,40542.0,104471,130948,93729,34658.0,21794.5,26903.0,85234.5,58009,34417.0,71333,11243.0,12006.5,31242.0,55120,70623,23388.0,729.5,23553.0,57296,39517.5,27512.0,38168.5,104034,39201.5,21525.5,54631,47038,61301,94977,19983.0,35380.0,14608.5,73076,53494.5,27026.5,68470,127474,69380,83579,32705.5,92086.5,43026.0,128209,3827.0,40008.5,33693.5,25503.5,177531,11210.5,236617,34885.5,36662.0,154851,90835,43907.5
174459,110379,30699.5,78286,82653,198695,83407,14581.0,451481,121610,348874,530361,219755,49205.5,39386.0,37326.5,63767,24693.5,118792,51119.0,97077,43291.0,75645,37256.5,51444.5,134592,38187.5,27201.0,51331.0,39581.0,9382.5,11771.5,19579.0,24888.0,11663999,55914,30919.5,23493.0,22245.5,264900,161500,693021,971102,103441,209783,43453.5,52200.5,274975,122296,12960.5,73784,453374,99217,21347.5,117984,37402.0,265517,21208.5,223448,131529,68440,86814,628133,95172,418109,23024.0,17301.0,1431.5,11127.5,5658.5,3773.0,14648.0,13422.0,4614.5,2873.5,88980,16583.0,86319,9173.5,18735.0,171723,70030,1722.5,33452.5,101911.5,15874.5,125970,4663649,60304,397608,18568.5,79016,103964,30238.0,34919.0,19769.5,70622,40117.5,78897,43679.5,28568.0,98001798,8450.5,82311.5,26859.5,40923.5,21590.5,85919,86768,28621.0,24939.0,29324.5,28809.0,72730,440707,47590.0,179226,206616,82876,40071.0,17685.0,38802.5,73739,43847.0,53652.5,232415,228420,45639.0,108374,138669,97588,38260.5,22954.5,28067.0,53844.5,64029,33844.0,76031,11778.5,12926.5,34537.5,57499,74130,26136.5,110.5,25100.0,55399,41208.0,30054.5,38645.5,95794,40141.0,23078.0,54968,50878,66845,86100,17322.5,37832.5,15837.5,77303,55209.0,29844.5,59297,129506,70136,88261,34885.5,26288.0,180186.5,120673,3746.0,46590.0,39503.5,18123.0,190680,11670.5,265829,37626.5,41392.0,149606,73929,50988.0
162473,120296,31197.0,88883,86486,414496,88173,15143.5,480580,116409,364050,532194,200793,51256.0,39460.5,40165.0,61847,26639.0,125319,53659.0,101477,44727.5,80242,38478.5,52982.5,137248,39990.0,28725.5,48697.0,38207.5,9388.0,11688.5,18475.0,24978.5,711486,53617,30793.0,21309.0,22568.5,280439,166026,704461,991893,102338,216588,44895.0,53709.5,283394,124577,13363.5,73991,462402,99567,21852.5,120539,39642.5,271017,19668.0,224093,121747,68318,93541,634223,100933,438743,26799.5,18007.5,1467.0,11780.0,5738.0,3901.0,14962.0,13961.0,4677.5,3013.0,91615,14744.0,87039,9422.5,13834.0,184508,68056,1644.5,33314.5,101189.0,15642.5,130557,371387,72404,428267,18334.0,82605,95545,35745.5,36333.5,18623.0,73755,45616.0,78168,43282.0,29835.5,171930,9055.5,83546.0,27496.0,43011.5,20960.5,81734,87901,29797.5,24818.5,30972.5,29570.5,73576,430617,49280.5,192137,107184,83264,43748.0,21813.0,40145.5,77302,46485.5,57722.5,224364,274786,47477.0,272253,135441,104741,39494.0,22689.5,27390.5,46438.0,61042,30307.5,74355,12692.0,13517.0,36578.0,64292,79510,27401.5,4919.0,26595.5,51922,42367.0,31803.0,40174.0,106692,41480.0,25325.0,52928,52459,70518,87088,18744.5,2556388.0,14994.0,77282,57920.5,30635.5,57476,133773,57704,89567,36776.0,27239.0,50402.0,167431,4145.5,49822.0,39074.0,18908.5,208463,11984.0,274385,38883.0,43201.0,153590,375339,53910.0
171209,118541,32285.0,85321,86793,215986,90016,14647.5,471656,124262,337116,573865,226880,52553.0,37531.0,41109.5,65702,27229.5,120536,53828.5,100746,46140.0,78594,38430.0,47440.0,138636,38544.0,29411.5,50680.0,38927.5,9512.5,11366.0,20665.5,26613.0,664798,53431,32692.5,25030.0,22510.5,280200,172292,651558,34457544,16909663,198352,44161.0,56274.0,270543,117374,13197.0,82044,428845,98026,23402.5,130676,40300.5,284721,18466.0,225534,137606,82736,89083,608868,98927,447708,27510.5,19365.5,1511.0,11860.0,6072.5,4032.5,15127.0,14029.0,4960.5,3113.0,90914,18345.5,79128,10210.0,18831.5,177253,78817,1829.0,39569.5,104265.0,16795.5,125901,399577,68127,398137,20112.0,77561,95287,35310.0,36963.5,21484.0,71523,60532.5,83793,44105.5,30779.5,163399,9388.5,85594.0,27766.0,46080.5,23348.0,85092,89513,29243.0,25802.0,30915.0,30279.5,74596,452703,45026.0,184007,109898,88225,46912.0,16781.5,41692.0,77311,43642.5,60026.5,241821,241044,46216.0,123750,144242,109287,37597.5,24517.5,30878.5,48709.0,66887,32117.0,80626,17138.5,13124.5,36622.5,58003,82480,27379.5,2771.5,27033.5,64332,44770.0,31414.0,39402.5,108411,41246.5,24742.5,58305,62783,75869,92453,23616.0,45258.5,15930.5,84557,59445.5,29045.0,67899,129651,74780,87363,34671.0,28089.0,52768.0,127746,4470.5,48661.5,35652.5,19697.5,220388,12631.0,266713,37420.0,42869.5,160397,86453,58267.0
163655,119847,28463.5,84163,96301,218586,97369,14601.5,492394,126504,347065,584627,227826,52088.0,39140.5,41552.0,67880,27441.0,120555,53853.5,101632,44072.0,77908,38086.0,46643.0,140255,37706.5,29346.5,50696.0,38963.5,10438.0,11710.0,20713.0,27094.5,677090,55294,33139.0,25764.5,22370.0,283485,175163,641994,1045086,142718834,199019,42977.0,54660.0,265651,114757,13262.5,83680,433133,95566,23048.5,134002,39957.0,291379,18237.0,234930,141313,84510,87661,623244,99719,455874,27822.5,18967.0,1555.5,11591.5,6025.5,3965.0,14730.0,13960.0,4978.0,3112.5,92685,18381.0,78842,10985.0,18574.0,164497,76253,1825.0,40346.0,107072.0,17079.5,132252,400770,68923,401907,21126.0,80372,93083,36123.0,37773.5,21568.5,73672,60779.5,81237,48563.0,30909.5,165252,9265.5,86501.5,28699.0,49732.5,20626.0,84815,91522,28964.0,26217.5,33453.0,28599.0,74636,449287,45896.0,170288,163635,89550,48382.5,15885.5,40398.5,80131,43602.0,59295.5,242571,247167,46201.5,124565,134094,109047,37074.0,25348.5,31127.0,48612.0,67685,32541.0,81725,26321.5,12086.0,37529.5,57869,76660,28726.5,12258.0,27287.0,65854,43719.5,32916.5,39740.5,108664,41048.5,21966.5,63752,63534,75959,91685,26527.0,44813.0,16607.0,84756,54863.5,29092.5,66148,122346,74886,83341,32144.5,27586.0,1195854.5,126525,4493.0,49748.5,37087.0,19554.0,233203,13419.5,262588,37915.0,40539.0,158234,83534,59464.5
